company,domain,tier,total_score,ai_posture,ai_gap_score,data_workflow_score,commercial_urgency_score,budget_access_score,feasibility_score,hard_gate_failed,hard_gate_unknown,classification_source,next_action,warnings
ServiceTitan,servicetitan.com,A,86,0,30,25,20,9,2,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Samsara,samsara.com,A,84,1,26,25,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Limble CMMS,limblecmms.com,A,84,1,26,25,20,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
PracticePanther,practicepanther.com,A,83,0,30,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
GPS Trackit,gpstrackit.com,A,82,1,26,25,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Dispatch,dispatch.me,A,81,0,30,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
FMX,gofmx.com,A,80,0,30,25,12,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Praxedo,praxedo.com,A,79,1,26,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Filevine,filevine.com,A,79,1,26,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Guidewire,guidewire.com,A,79,1,26,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
FieldEdge,fieldedge.com,A,78,1,26,25,16,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
BuildOps,buildops.com,A,78,1,26,25,16,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Procore,procore.com,A,78,1,26,25,20,3,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
NexTraq,nextraq.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
ClearPathGPS,clearpathgps.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Autofleet,autofleet.io,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Sprout Social,sproutsocial.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
MaintainX,getmaintainx.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
ServiceChannel,servicechannel.com,A,77,1,26,20,20,9,2,False,False,rules,Prioritize human research and outbound.,
Availity,availity.com,A,77,0,30,20,16,9,2,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Snapsheet,snapsheetclaims.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Facilio,facilio.com,A,76,1,26,25,20,3,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Karbon,karbonhq.com,A,75,1,26,20,16,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Duck Creek,duckcreek.com,A,75,2,22,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
DealerSocket,dealersocket.com,B,74,0,30,15,16,9,4,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Brandwatch,brandwatch.com,B,74,1,26,15,20,9,4,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
UpKeep,onupkeep.com,B,74,3,14,25,20,9,6,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Fleet Complete,fleetcomplete.com,B,73,1,26,20,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
AutoLeap,autoleap.com,B,73,2,22,20,20,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Shopmonkey,shopmonkey.io,B,73,0,30,20,12,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
AppFolio,appfolio.com,B,73,1,26,20,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
MyCase,mycase.com,B,73,1,26,20,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Teletrac Navman,teletracnavman.com,B,72,1,26,25,16,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
One Step GPS,onestepgps.com,B,72,1,26,15,20,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Service Fusion,servicefusion.com,B,72,0,30,15,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
SocialPilot,socialpilot.co,B,72,1,26,15,20,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Rent Manager,rentmanager.com,B,72,2,22,25,12,9,4,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Bluebeam,bluebeam.com,B,72,1,26,15,20,9,2,False,False,rules,Review manually; qualify trigger and budget.,
Granicus,granicus.com,B,72,1,26,15,20,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Zubie,zubie.com,B,71,0,30,20,16,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
DealerCenter,dealercenter.com,B,71,1,26,20,20,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Buildium,buildium.com,B,71,1,26,20,12,9,4,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Clio,clio.com,B,71,1,26,20,12,9,4,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Accela,accela.com,B,70,3,14,25,16,9,6,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Entrata,entrata.com,B,69,1,26,20,16,3,4,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
STACK,stackct.com,B,69,1,26,10,20,9,4,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Azuga,azuga.com,B,68,1,26,15,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Motive,gomotive.com,B,68,3,14,25,16,9,4,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
CDK Global,cdkglobal.com,B,68,1,26,15,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Talkwalker,talkwalker.com,B,68,1,26,15,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Raken,rakenapp.com,B,68,0,30,15,12,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Autodesk Construction Cloud,construction.autodesk.com,B,68,1,26,15,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Kareo,kareo.com,B,68,1,26,15,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Tebra,tebra.com,B,68,1,26,15,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Agorapulse,agorapulse.com,B,67,1,26,10,20,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
CoConstruct,coconstruct.com,B,67,0,30,10,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Jetpack Workflow,jetpackworkflow.com,B,67,0,30,10,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Mango Practice Management,mangopractice.com,B,67,0,30,20,12,3,2,False,False,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures.
DrChrono,drchrono.com,B,67,1,26,20,16,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Waystar,waystar.com,B,67,1,26,20,16,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
WorkWave,workwave.com,B,65,1,26,20,8,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Buffer,buffer.com,B,65,1,26,10,16,9,4,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Sendible,sendible.com,B,65,1,26,20,8,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Fiix,fiixsoftware.com,B,65,1,26,20,8,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
AkitaBox,akitabox.com,B,65,1,26,20,8,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
CivicPlus,civicplus.com,B,65,2,22,20,16,3,4,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
MRI Software,mrisoftware.com,B,64,1,26,15,12,9,2,False,False,rules,Review manually; qualify trigger and budget.,
Fieldwire,fieldwire.com,B,64,1,26,15,12,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Later,later.com,B,63,1,26,10,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Yardi,yardi.com,B,63,1,26,10,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
ResMan,myresman.com,B,63,1,26,20,12,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Smokeball,smokeball.com,B,63,1,26,20,12,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Statusbrew,statusbrew.com,B,61,1,26,10,20,3,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Loomly,loomly.com,B,61,2,22,10,16,9,4,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Canopy,canopytax.com,B,61,3,14,20,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Origami Risk,origamirisk.com,B,61,1,26,20,4,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Jobber,jobber.com,B,60,1,26,15,8,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Housecall Pro,housecallpro.com,B,60,1,26,15,8,9,2,False,False,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures.
Metricool,metricool.com,B,60,2,22,15,12,9,2,False,True,rules,Review manually; qualify trigger and budget.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Pulsar,pulsarplatform.com,C,59,2,22,10,16,9,2,False,True,rules,Nurture or deprioritize.,Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
OpenGov,opengov.com,C,58,1,26,15,4,9,4,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Ridecell,ridecell.com,C,57,3,14,20,12,9,2,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
OpenGov Cartegraph,cartegraph.com,C,56,1,26,15,4,9,2,False,True,rules,Nurture or deprioritize.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
AdvancedMD,advancedmd.com,C,55,3,14,20,8,9,4,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Fracttal,fracttal.com,C,53,0,30,10,8,3,2,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Briq,briq.com,C,53,1,26,10,12,3,2,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Dealertrack,dealertrack.com,C,49,0,30,10,4,3,2,False,True,rules,Nurture or deprioritize.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
eMaint,emaint.com,C,49,0,30,10,4,3,2,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Litify,litify.com,Reject,49,5,0,20,16,9,4,True,True,rules,Reject or nurture; one or more hard gates failed.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Fleetio,fleetio.com,C,47,0,30,10,4,3,0,False,True,rules,Nurture or deprioritize.,Could not fetch homepage: HTTP Error 403: Forbidden | No public domain evidence fetched; scoring uses CSV fields and notes only. | Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Tyler Technologies,tylertech.com,C,47,0,30,10,4,3,0,False,True,rules,Nurture or deprioritize.,Could not fetch homepage: HTTP Error 403: Forbidden | No public domain evidence fetched; scoring uses CSV fields and notes only. | Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
TaxDome,taxdome.com,C,47,0,30,10,4,3,0,False,True,rules,Nurture or deprioritize.,Could not fetch homepage: HTTP Error 403: Forbidden | No public domain evidence fetched; scoring uses CSV fields and notes only. | Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Reynolds and Reynolds,reyrey.com,C,44,0,30,5,4,3,2,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Has proprietary workflow/data is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Sprinklr,sprinklr.com,Reject,44,5,0,15,16,9,4,True,True,rules,Reject or nurture; one or more hard gates failed.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Nextech,nextech.com,C,44,0,30,5,4,3,2,False,True,rules,Nurture or deprioritize.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Planon,planonsoftware.com,C,42,0,30,5,4,3,0,False,True,rules,Nurture or deprioritize.,No public domain evidence fetched; scoring uses CSV fields and notes only. | Fetch attempt cap reached at 10 attempts. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Buildertrend,buildertrend.com,C,42,0,30,5,4,3,0,False,True,rules,Nurture or deprioritize.,Could not fetch homepage: HTTP Error 403: Forbidden | No public domain evidence fetched; scoring uses CSV fields and notes only. | Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Athenahealth,athenahealth.com,C,42,0,30,5,4,3,0,False,True,rules,Nurture or deprioritize.,Could not fetch homepage: HTTP Error 403: Forbidden | No public domain evidence fetched; scoring uses CSV fields and notes only. | Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Meltwater,meltwater.com,C,37,0,30,0,4,3,0,False,True,rules,Nurture or deprioritize.,Could not fetch homepage: <urlopen error [Errno 61] Connection refused> | No public domain evidence fetched; scoring uses CSV fields and notes only. | Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: B2B or B2B2C is unknown (Not enough public evidence.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Tekion,tekion.com,Reject,34,5,0,15,8,9,2,True,True,rules,Reject or nurture; one or more hard gates failed.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
